,Airport,Ranking
0,ATL,43.298058426039304
1,ORD,26.68733579388152
2,PEK,26.026590902977897
3,CDG,25.447210399290313
4,LHR,25.290156610932375
5,FRA,24.48730142101181
6,LAX,23.892937753342906
7,DFW,22.78696784055505
8,AMS,22.46867191352246
9,JFK,22.373470028383952
10,PVG,20.029518846590566
11,SIN,19.707464459127987
12,BCN,19.214190981705467
13,IST,18.577556150858445
14,DEN,18.31504936213521
15,MUC,18.018640966788112
16,ICN,17.87762183879724
17,DXB,17.760473408965364
18,MIA,17.69336029603994
19,LGW,17.455144853603606
20,HKG,17.205921845109614
21,CAN,16.513355957443533
22,DME,16.494193570222766
23,FCO,16.45734929986579
24,MAD,16.310973818848005
25,BKK,16.00740759851906
26,YYZ,15.737029286581349
27,BRU,15.650139159804704
28,CTU,15.432666296125943
29,MAN,15.399260082378866
30,VIE,15.2415709945389
31,CLT,14.764550295919708
32,DUS,14.221245798733989
33,PHL,14.114567873709449
34,NRT,14.005683563743197
35,PMI,13.64128642453282
36,XIY,13.312750571052183
37,KMG,13.023646890086983
38,CKG,12.899742290026117
39,TPE,12.801046218910054
40,DEL,12.790667949454582
41,EWR,12.739420819148737
42,KUL,12.612223607597262
43,LAS,12.577446650662742
44,PHX,12.50483670809136
45,ZRH,12.433814251004062
46,IAH,12.41684523424444
47,SFO,12.226596827943872
48,HGH,11.982344504669586
49,MEX,11.814586193449124
50,MCO,11.655100364294295
51,AUH,11.541831294749624
52,CPH,11.437313734426608
53,SZX,11.24746958610064
54,XMN,11.094819081817514
55,ARN,11.07150933926811
56,DTW,11.069458621194537
57,LIS,11.011934413025859
58,BOM,10.923421222150516
59,MSP,10.68172030745196
60,DUB,10.580076918182414
61,BOS,10.513437620762456
62,TXL,10.499583328214761
63,ATH,10.47995517852177
64,ORY,10.362399742394558
65,SYD,10.266223902097718
66,SVO,10.239213396747756
67,AGP,10.218777178639797
68,SEA,10.04649020604891
69,SHA,9.875009541498335
70,MXP,9.746775562563089
71,DOH,9.642531389300302
72,IAD,9.632339624337426
73,GRU,9.540447392062763
74,DCA,9.49714595614601
75,MNL,9.397017906691428
76,LED,9.396182170670903
77,FLL,9.384685367028348
78,YUL,9.371718973059908
79,OSL,9.238566001005454
80,JED,9.206067073395971
81,CSX,9.060740819901204
82,PRG,9.02604207335735
83,WUH,8.978074011142603
84,STN,8.969207134089498
85,TAO,8.930773270256433
86,CGK,8.729796505305387
87,CGO,8.283105658905631
88,GVA,8.270827191483301
89,JNB,8.155012002542668
90,HEL,8.083247674298722
91,HAM,8.024261423992819
92,ALC,7.912065624362137
93,TFS,7.891416111016942
94,NKG,7.883437497542991
95,HND,7.847468579400169
96,YVR,7.775918382950257
97,LGA,7.755744757603708
98,CAI,7.7203906902759645
99,BOG,7.69901574615608
100,LPA,7.67471394801755
101,CUN,7.623427322555917
102,SAW,7.549605151896292
103,BWI,7.503581046416287
104,KIX,7.395747399567075
105,URC,7.349229286639638
106,BNE,7.340649997755805
107,RUH,7.104155896260454
108,TSN,7.0737788210994825
109,LYS,7.066949028429353
110,SLC,7.017093964245057
111,DLC,6.9640436870307845
112,STR,6.876851302184568
113,NCE,6.85945365558224
114,TLV,6.833729525131793
115,TPA,6.79690090961447
116,CGN,6.752264132602454
117,SHE,6.688761827550511
118,BHX,6.6601118833968425
119,MEL,6.654380361261487
120,MDW,6.644622463903818
121,MRS,6.614263332366451
122,NBO,6.567560847436076
123,KWE,6.562164555697094
124,CMN,6.433413748671276
125,TNA,6.419278057991124
126,FOC,6.390656005347487
127,HRB,6.374105987379522
128,AYT,6.264823432030206
129,VCE,6.232282733321365
130,AKL,6.1050784062837105
131,WAW,6.102478201436581
132,EDI,6.077582344513346
133,MSY,5.92404800239099
134,KWI,5.915792111833381
135,SAN,5.879713802998073
136,PDX,5.844923175466428
137,CTA,5.768711130157524
138,MLA,5.767389625121433
139,ACE,5.75595195418556
140,OTP,5.744376421474598
141,HNL,5.726874613406439
142,YYC,5.689554326686176
143,LIM,5.682089537456663
144,AMM,5.633001370813224
145,ADD,5.549428653972859
146,NNG,5.51001834603221
147,LTN,5.479606149320958
148,SGN,5.434244141260368
149,PTY,5.425878087408557
150,HER,5.419574291359009
151,TYN,5.404243387222776
152,STL,5.333755933390337
153,FAO,5.2744880319568646
154,SYX,5.2484241189674155
155,SHJ,5.205220581941593
156,MCT,5.195655484297293
157,OPO,5.1817229459048155
158,RIX,5.172940228853187
159,KWL,5.153759556460996
160,IBZ,5.151440509287446
161,BRS,5.146151288484137
162,SVX,5.1438713167922
163,HAK,5.125684577920119
164,KBP,5.111787666558151
