,Airport,Ranking
0,ATL,42.89085009028411
1,ORD,26.5020760388616
2,PEK,25.899235692793
3,CDG,25.511337432143495
4,LHR,25.379473036981114
5,FRA,24.586929504331152
6,LAX,23.720350912885042
7,AMS,22.61373326289885
8,DFW,22.57506421732685
9,JFK,22.285818090338775
10,PVG,19.888579602537288
11,SIN,19.581142455993394
12,BCN,19.383597664768587
13,IST,18.653580058331777
14,MUC,18.16135809150164
15,DEN,18.134282665015096
16,ICN,17.756738807092013
17,DXB,17.75353333706868
18,MIA,17.556644348282127
19,LGW,17.548759709960848
20,HKG,17.08982956631619
21,FCO,16.54495408015546
22,DME,16.478408853460326
23,CAN,16.389186128768113
24,MAD,16.36294480852529
25,ARN,16.316468694420635
26,BKK,15.986609126014965
27,BRU,15.733603434615194
28,YYZ,15.64101656040601
29,MAN,15.519417408020788
30,VIE,15.403760835905091
31,CTU,15.307672742057989
32,CLT,14.6236128376639
33,DUS,14.355480578827855
34,PHL,14.00462842480974
35,NRT,13.916916041782011
36,PMI,13.753012810171235
37,XIY,13.202715124626462
38,KMG,12.916002422029973
39,CKG,12.794719221448908
40,EWR,12.715492699988044
41,DEL,12.710153487984359
42,TPE,12.703669667036916
43,KUL,12.531206840536
44,ZRH,12.516640699910571
45,LAS,12.46546480418173
46,PHX,12.385917657239201
47,IAH,12.307024407639924
48,SFO,12.130054044617273
49,HGH,11.884098880213358
50,MEX,11.70154387529286
51,CPH,11.59644362177079
52,MCO,11.55181907680064
53,AUH,11.503380748389743
54,SZX,11.154070723485495
55,LIS,11.081121892895567
56,XMN,11.004797426904025
57,DTW,10.969475510319363
58,BOM,10.854498311956927
59,TXL,10.679568441927302
60,DUB,10.65903799864824
61,MSP,10.581237704781739
62,ATH,10.570956339509516
63,BOS,10.43506798171082
64,ORY,10.40996267256584
65,AGP,10.332391262958323
66,SVO,10.298169712072333
67,SYD,10.199687993805489
68,SEA,9.970357224423847
69,SHA,9.792486352701557
70,MXP,9.770639829376304
71,DOH,9.643823700497157
72,IAD,9.570830113540376
73,GRU,9.480373840385532
74,LED,9.448588931928732
75,OSL,9.410309656038734
76,DCA,9.40185861302183
77,MNL,9.327214275787297
78,YUL,9.322716759036064
79,FLL,9.321793835116944
80,JED,9.166310472377244
81,PRG,9.153062826109243
82,STN,9.03300372994896
83,CSX,8.98525933923739
84,WUH,8.90417811712227
85,TAO,8.857650018092956
86,CGK,8.667085784646035
87,GVA,8.387576637867326
88,HEL,8.335534155802318
89,CGO,8.213800578427223
90,HAM,8.116183440990142
91,JNB,8.103539861365366
92,ALC,8.056793462869619
