,Airport,Ranking
0,ATL,43.24672754919839
1,ORD,26.657792045516338
2,PEK,26.09301766035354
3,CDG,25.40021200225433
4,LHR,25.24494137177952
5,FRA,24.42540609496038
6,LAX,23.888961889742443
7,DFW,22.76628258875904
8,AMS,22.40548440477492
9,JFK,22.341734311486068
10,PVG,20.08922263233194
11,SIN,19.76202310836897
12,BCN,19.14521908474246
13,IST,18.52467695028947
14,DEN,18.299488871097758
15,MUC,17.957076563052134
16,ICN,17.917415847752178
17,DXB,17.73255776834787
18,MIA,17.67755669743671
19,LGW,17.3938935561503
20,HKG,17.25199604372164
21,CAN,16.57273577129849
22,DME,16.43788995412087
23,FCO,16.406376229455102
24,MAD,16.266949935298616
25,BKK,16.031118341018836
26,YYZ,15.717779676117532
27,BRU,15.612364701062983
28,CTU,15.494229198343403
29,MAN,15.340890906200357
30,VIE,15.18606356013934
31,CLT,14.746928808445453
32,DUS,14.168077225723295
33,PHL,14.093683828287999
34,NRT,14.03090167688691
35,PMI,13.582482803915864
36,XIY,13.369084737070771
37,KMG,13.07785915561705
38,CKG,12.953818791424474
39,TPE,12.842531540804801
40,DEL,12.780250943942256
41,EWR,12.71956735449598
42,KUL,12.641150868636968
43,LAS,12.566024737729803
44,PHX,12.495768966980107
45,IAH,12.40486523974659
46,ZRH,12.394376298776773
47,SFO,12.221491261050287
48,HGH,12.031334931498716
49,MEX,11.804159021326777
50,MCO,11.640278449001505
51,AUH,11.52904226619413
52,CPH,11.398109736555753
53,SZX,11.29527822869759
54,XMN,11.140189301583174
55,DTW,11.05789850824773
56,ARN,11.029943069560263
57,LIS,10.979714424341111
58,BOM,10.912660179223172
59,MSP,10.671632786591749
60,DUB,10.540261282699834
61,BOS,10.499070564369884
62,TXL,10.45968102130953
63,ATH,10.43871508600498
64,ORY,10.324301197581606
65,SYD,10.320066552735694
66,SVO,10.209530468601994
67,AGP,10.176628396698835
68,SEA,10.048402483734028
69,SHA,9.917107150198621
70,MXP,9.71769889621767
71,DOH,9.62907411095554
72,IAD,9.620970144547194
73,GRU,9.559221552453355
74,DCA,9.486081835798279
75,MNL,9.424897297035129
76,FLL,9.373427002625872
77,LED,9.36167804916803
78,YUL,9.36091327857081
79,OSL,9.202913252927432
80,JED,9.190232885599908
81,CSX,9.099173810875953
82,WUH,9.015148884623557
83,PRG,8.992070288308312
84,TAO,8.966483670035363
85,STN,8.92827947684017
86,CGK,8.765532933615033
87,CGO,8.317726111944406
88,GVA,8.241596349648017
89,JNB,8.145799362547681
90,HEL,8.05927637998995
91,HAM,7.992221248163421
92,NKG,7.9156564513133825
93,ALC,7.878021577896206
94,HND,7.868242573214833
95,TFS,7.8575619727968595
96,YVR,7.7756561915034546
97,LGA,7.746510105940987
98,CAI,7.703221349194839
99,BOG,7.695714717577991
100,LPA,7.64679462647111
101,CUN,7.613712634724953
102,SAW,7.520443961170749
103,BWI,7.494772634446544
104,KIX,7.417154292908681
105,BNE,7.3898365258178895
106,URC,7.369609392240461
107,TSN,7.103669480543645
108,RUH,7.091714714061156
109,LYS,7.0399641970859985
110,SLC,7.01188951480461
111,DLC,6.9919470825979815
112,STR,6.848973015513041
113,NCE,6.8325616115078525
114,TLV,6.811514880557291
115,TPA,6.788181983768376
116,CGN,6.72360312282811
117,SHE,6.715200348389123
118,MEL,6.687191602152671
119,MDW,6.637541920080024
120,BHX,6.6326311844502435
121,KWE,6.590384834488571
122,MRS,6.588023468025239
123,NBO,6.556814831686341
124,TNA,6.445755233116691
125,CMN,6.430509637512208
126,FOC,6.417031608301354
127,HRB,6.397966596302156
128,AYT,6.239082507102915
129,VCE,6.209287152700775
130,AKL,6.139611400096845
131,WAW,6.080275143873834
132,EDI,6.052421707203533
133,MSY,5.917518529434622
134,KWI,5.903121940682873
135,SAN,5.874809408177969
136,PDX,5.84147402779648
137,CTA,5.745980813953745
138,MLA,5.744259618880571
139,HNL,5.736304329215401
140,ACE,5.73125151127267
141,OTP,5.722322911962704
142,LIM,5.68632736727848
143,YYC,5.685737790488884
144,AMM,5.618682760261107
